tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26660,1650215267.504,"19:07:47,504000",877,5205,1392,1.052,0.067,-0.045,39,125,806,"{'x': -11.375, 'y': 7.875, 'z': 10.875}","{'x': -18.375, 'y': 11.375, 'z': -39.5625}",2
26651,1650215267.577,"19:07:47,577000",3137,4976,892,0.016,0.063,-0.003,56,1,955,"{'x': -0.125, 'y': 0, 'z': 0}","{'x': 0.75, 'y': 7.1875, 'z': -14.75}",2
26660,1650215267.647,"19:07:47,647000",900,5064,1389,0.995,0.069,-0.023,37,44,1138,"{'x': 9.1875, 'y': 8.6875, 'z': 27.3125}","{'x': -16.5625, 'y': 12.0625, 'z': -39.5625}",2
26651,1650215267.732,"19:07:47,732000",3130,4976,888,0.016,0.063,-0.003,54,0,954,"{'x': 0, 'y': 0.125, 'z': 0}","{'x': 1.5625, 'y': 6.75, 'z': -15.1875}",2
26660,1650215267.797,"19:07:47,797000",927,4931,1396,0.93,0.057,-0.013,-47,-216,1265,"{'x': -46.1875, 'y': 0.25, 'z': 38.5}","{'x': -15.75, 'y': 13.25, 'z': -40}",2
26651,1650215267.884,"19:07:47,884000",3129,4977,869,0.016,0.063,-0.003,55,1,953,"{'x': -0.1875, 'y': 0.1875, 'z': -0.1875}","{'x': 0.75, 'y': 6.375, 'z': -15.1875}",2
26660,1650215267.954,"19:07:47,954000",965,4799,1417,0.814,0.049,-0.013,-43,-75,1178,"{'x': -18.5, 'y': -15.5, 'z': 38.125}","{'x': -12.75, 'y': 14.5625, 'z': -39.875}",2
26651,1650215268.053,"19:07:48,053000",3130,4975,858,0.016,0.063,-0.003,55,2,956,"{'x': 0.1875, 'y': -0.125, 'z': 0}","{'x': 1.1875, 'y': 7.1875, 'z': -16}",2
26651,1650215268.242,"19:07:48,242000",3130,4974,855,0.016,0.063,-0.003,56,0,952,"{'x': 0.1875, 'y': -0.0625, 'z': -0.1875}","{'x': 0.75, 'y': 6.375, 'z': -15.1875}",2
26660,1650215268.317,"19:07:48,317000",1055,4560,1425,0.692,0.052,-0.072,57,137,987,"{'x': 1.75, 'y': -13.4375, 'z': 0.125}","{'x': -10.5625, 'y': 14.5625, 'z': -40.6875}",2
